Index	Label	Frequency
4310	enzymes	2
4311	coats	4
4312	fashion	23
4313	literature	15
4314	receives	2
4315	salary	46
4316	relatives	15
4317	melon	3
4318	hollow	2
4319	fulfilled	3
4320	barber'	4
4321	shoe	31
4322	pairs	13
4323	trousers	15
4324	loses	15
4325	violent	20
4326	wire	21
4327	intentional	2
4328	accurate	18
4329	rinse	6
4330	dentist	49
4331	flame	5
4332	crack	16
4333	beneath	5
4334	refrigerator	32
4335	knocked	44
4336	stopping	25
4337	wild	25
4338	chef	7
4339	picnics	5
4340	delegates	2
4341	participated	10
4342	beef	22
4343	dangers	10
4344	newcomers	2
4345	harassed	1
4346	equator	4
4347	super	8
4348	compete	9
4349	ridden	17
4350	mule	10
4351	loose-fitting	1
4352	madrid	3
4353	dragged	14
4354	oral	5
4355	oversleep	2
4356	indignant	7
4357	cotton	9
4358	mittens	3
4359	scratching	3
4360	cows	25
4361	accidents	34
4362	carrots	23
4363	onions	10
4364	accusation	3
4365	mixture	5
4366	gases	4
4367	meditate	2
4368	yoga	5
4369	stiff	11
4370	richer	12
4371	bottoms	2
4372	hearts	5
4373	leader	42
4374	asia	14
4375	prosperity	5
4376	citizens	11
4377	imaginative	4
4378	eve	30
4379	hut	3
4380	falling	42
4381	backyard	9
4382	burglar	16
4383	neighbor'	17
4384	prepare	38
4385	oh	32
4386	photo	59
4387	wasted	26
4388	cares	31
4389	intended	29
4390	addressed	18
4391	symptoms	7
4392	texting	10
4393	encouraged	17
4394	fulfill	8
4395	ambitions	4
4396	manipulated	2
4397	grandmother'	9
4398	betrays	1
4399	guards	12
4400	stones	14
4401	import	7
4402	businessman	13
4403	flour	9
4404	yeast	2
4405	sudden	45
4406	drops	6
4407	happier	33
4408	hindsight	3
4409	imitated	3
4410	van	12
4411	gogh	1
4412	retires	6
4413	margarine	8
4414	substitute	2
4415	meanings	5
4416	shade	15
4417	appointments	7
4418	pat	2
4419	shoulder	48
4420	acts	12
4421	towels	9
4422	synchronize	1
4423	watches	18
4424	relaxing	11
4425	develop	4
4426	tomatoes	17
4427	raw	23
4428	braised	1
4429	mention	45
4430	prospectus	2
4431	frequently	15
4432	jumps	2
4433	topic	19
4434	drafted	2
4435	fastened	5
4436	flippers	2
4437	unassuming	1
4438	ease	24
4439	time'	10
4440	exams	20
4441	sort	71
4442	re-elected	3
4443	scaring	3
4444	eats	70
4445	role	16
4446	deluding	7
4447	valentine'	24
4448	tolerated	2
4449	arguing	43
4450	provide	22
4451	interest-free	1
4452	loans	4
4453	firms	2
4454	hop	2
4455	lab	6
4456	blockade	1
4457	britain	10
4458	nonsense	33
4459	shares	5
4460	topics	9
4461	aurora	1
4462	borealis	1
4463	carrying	18
4464	identification	2
4465	curry	6
4466	allergic	31
4467	process	13
4468	experiences	14
4469	especially	15
4470	presidential	4
4471	cousin	42
4472	subway	26
4473	gathering	9
4474	download	3
4475	stylish	15
4476	improving	16
4477	snowboard	2
4478	detest	3
4479	asap	1
4480	boil	13
4481	potatoes	35
4482	tender	7
4483	technically	2
4484	generation	6
4485	arabic	8
4486	teasing	8
4487	personality	20
4488	demented	9
4489	parked	46
4490	twenty	48
4491	buried	24
4492	impolitely	2
4493	fuss	14
4494	departing	2
4495	absences	1
4496	suspicion	8
4497	u	17
4498	incarceration	1
4499	highest	13
4500	motorcycle	20
4501	expecting	85
4502	publication	3
4503	blonde	16
4504	mouse	22
4505	mistook	25
4506	named	32
4507	locksmith	2
4508	bigot	4
4509	blamed	21
4510	termites	2
4511	destroying	2
4512	houses	42
4513	smiling	49
4514	scrambled	3
4515	dyed	17
4516	articulate	3
4517	typewriter	11
4518	mommy	2
4519	daddy	7
4520	journey	20
4521	exceptions	9
4522	goals	24
4523	baggage	25
4524	wanna	10
4525	confuse	15
4526	austria	4
4527	glanced	20
4528	permitted	17
4529	buildings	25
4530	fireworks	8
4531	factory	27
4532	sketched	1
4533	glance	9
4534	mother'	32
4535	hilarious	15
4536	tornadoes	1
4537	destructive	1
4538	barks	11
4539	stroke	9
4540	cave	26
4541	field	22
4542	grass	41
4543	slim	6
4544	lukewarm	1
4545	blurry	2
4546	permitting	8
4547	culture	18
4548	car'	9
4549	tires	15
4550	caked	1
4551	dried	15
4552	proficient	10
4553	ssh	1
4554	access	16
4555	remotely	1
4556	murderer	11
4557	feels	89
4558	unacceptable	6
4559	intentionally	10
4560	betrayed	51
4561	bullfight	1
4562	blend	1
4563	aah	3
4564	snakes	26
4565	rome	23
4566	divided	20
4567	heirs	1
4568	conclusions	12
4569	constructively	1
4570	game'	2
4571	subjective	3
4572	detailed	8
4573	preaching	11
4574	choir	14
4575	spanked	5
4576	yellow	40
4577	sweater	63
4578	tricks	14
4579	sheets	11
4580	description	9
4581	delicately	2
4582	recover	18
4583	shortest	4
4584	route	3
4585	murders	3
4586	camping	22
4587	delighted	62
4588	discount	21
4589	bald	14
4590	uninteresting	6
4591	condone	4
4592	fork	22
4593	treasure	11
4594	shuttle	4
4595	nephew	5
4596	unemployed	19
4597	surprises	12
4598	futon	5
4599	frost	12
4600	pastime	5
4601	roads	12
4602	tripped	8
4603	shortly	11
4604	splendid	5
4605	mailbox	7
4606	email	49
4607	swam	18
4608	bee	21
4609	managed	56
4610	cabin	10
4611	fantasy	3
4612	cover	32
4613	shuffle	9
4614	grace	1
4615	scotland	6
4616	woollen	1
4617	textiles	1
4618	wired	2
4619	snake	10
4620	venomous	1
4621	boiling	12
4622	data	30
4623	interrupt	34
4624	rainforests	5
4625	benefits	7
4626	lake	115
4627	ironed	8
4628	wrinkles	1
4629	exciting	45
4630	stars	39
4631	twinkle	1
4632	kilometers	11
4633	fluctuation	1
4634	caused	73
4635	financial	19
4636	crisis	24
4637	all-nighters	1
4638	tests	17
4639	mob	6
4640	latin	15
4641	sharks	2
4642	elders	10
4643	guest	21
4644	shelter	13
4645	finds	21
4646	employ	8
4647	20	20
4648	remorse	1
4649	yesterday'	19
4650	passionate	4
4651	bass	22
4652	area	45
4653	intrigued	12
4654	slowed	5
4655	volunteering	10
4656	stands	16
4657	polite	64
4658	seven-pointed	4
4659	serve	25
4660	upsetting	5
4661	doll	38
4662	freeloaders	1
4663	banged	15
4664	remark	9
4665	irrelevant	15
4666	airplanes	9
4667	attitude	26
4668	excess	4
4669	soaking	6
4670	walt	1
4671	whitman	1
4672	choosing	6
4673	grades	23
4674	swift	2
4675	translator	3
4676	falls	18
4677	indifferent	2
4678	answering	25
4679	zoology	2
4680	overwhelmed	9
4681	intensity	1
4682	olympics	9
4683	scallops	2
4684	represent	9
4685	connected	20
4686	genius	34
4687	gained	18
4688	butterflies	9
4689	delete	8
4690	greek	13
4691	curiosity	15
4692	development	5
4693	impartial	4
4694	considering	16
4695	universal	9
4696	encounter	7
4697	all-nighter	3
4698	italo	1
4699	calvino	1
4700	italy	30
4701	geologist	2
4702	forbid	5
4703	typist	8
4704	molehill	1
4705	innovative	2
4706	giggled	8
4707	thrown	20
4708	cherry	19
4709	humor	26
4710	incorrect	9
4711	babysitter'	1
4712	bias	1
4713	breast-feeding	2
4714	husband'	17
4715	week'	3
4716	attachment	2
4717	envious	14
4718	grandparents	15
4719	cane	7
4720	questionnaire	4
4721	closely	34
4722	smoothly	7
4723	opening	32
4724	ceremony	29
4725	evacuating	1
4726	buses	14
4727	measure	8
4728	claims	16
4729	visions	1
4730	express	38
4731	know-it-all	4
4732	jog	1
4733	vanilla	6
4734	creams	3
4735	india	20
4736	driven	12
4737	remote	16
4738	good-looking	8
4739	relying	1
4740	achievable	3
4741	pieces	39
4742	scores	3
4743	follows	13
4744	outlandish	1
4745	online	26
4746	soft	25
4747	rage	8
4748	chairing	1
4749	balanced	5
4750	log	12
4751	paddled	1
4752	weakest	2
4753	blackmailing	7
4754	happiest	12
4755	firewood	5
4756	slang	5
4757	unambitious	9
4758	gradually	10
4759	countryside	9
4760	support	69
4761	jittery	5
4762	escape	83
4763	jeans	25
4764	shrank	4
4765	shaken	23
4766	trumpet	15
4767	sunny	14
4768	politicians	12
4769	spreading	5
4770	sometime	29
4771	unimaginative	4
4772	recognizing	1
4773	chickens	8
4774	guile	2
4775	criticism	16
4776	unfair	26
4777	weeds	12
4778	weekends	16
4779	ten-year-old	2
4780	rumor	51
4781	radicals	1
4782	plotting	3
4783	testify	10
4784	unemployment	7
4785	%	36
4786	inherited	10
4787	basically	1
4788	attracted	11
4789	trim	5
4790	beard	34
4791	precisely	5
4792	africa	26
4793	sponsor	1
4794	cd	16
4795	yard	16
4796	photos	33
4797	refurbished	1
4798	fingers	38
4799	postman	2
4800	fined	16
4801	defendant	5
4802	tiptoed	6
4803	continues	3
4804	abstract	3
4805	fake	33
4806	burns	8
4807	gathered	27
4808	volunteers	18
4809	holds	11
4810	poker	20
4811	terribly	22
4812	emotional	18
4813	hunters	3
4814	elephant	11
4815	unbiased	3
4816	hourly	6
4817	briefly	19
4818	guests	47
4819	simpler	7
4820	granddaughter	4
4821	shanghai	2
4822	referred	4
4823	east	18
4824	outlive	8
4825	millionaire	21
4826	numb	12
4827	improvise	3
4828	sentences	14
4829	interrogated	3
4830	bury	12
4831	create	13
4832	legwork	5
4833	rear	6
4834	bargain	29
4835	cups	11
4836	grandson	6
4837	impulse	4
4838	angle	5
4839	amusing	12
4840	chilly	4
4841	suffice	1
4842	architecture	4
4843	cloning	4
4844	santa	54
4845	demonstration	10
4846	ends	24
4847	income	33
4848	reacted	3
4849	leverage	1
4850	owls	6
4851	unimportant	9
4852	approaching	17
4853	professionals	3
4854	christian	6
4855	rituals	2
4856	pagan	1
4857	roots	3
4858	disagreeing	2
4859	od'	1
4860	cocaine	7
4861	discharged	2
4862	spur	2
4863	resign	33
4864	trapped	23
4865	routine	6
4866	procedure	10
4867	prune	1
4868	sore	29
4869	rare	22
4870	costly	5
4871	commodity	2
4872	strengths	5
4873	residents	2
4874	opposed	14
4875	groped	1
4876	flashlight	18
4877	pseudoscience	1
4878	doubted	2
4879	outcome	11
4880	liters	1
4881	afar	1
4882	foolishly	2
4883	span	5
4884	causing	9
4885	sailing	10
4886	rubber	6
4887	bounces	1
4888	elastic	1
4889	bare	21
4890	issue	31
4891	elephants	20
4892	disturbing	14
4893	ex-boyfriends	1
4894	mask	6
4895	troubling	7
4896	ounce	1
4897	prevention	4
4898	pound	10
4899	west	23
4900	hoarding	1
4901	dumbfounded	11
4902	stocks	6
4903	clasped	2
4904	confusing	8
4905	wording	1
4906	cast	7
4907	hunted	5
4908	foxes	5
4909	wooden	15
4910	japan'	8
4911	misunderstanding	35
4912	german	57
4913	vacancies	1
4914	undercover	2
4915	sorted	5
4916	files	17
4917	alphabetical	6
4918	eyesight	17
4919	amused	15
4920	wright	1
4921	evidence	38
4922	sirens	7
4923	intends	11
4924	jam	28
4925	disguise	3
4926	tractor	4
4927	baboon	1
4928	snapped	5
4929	believes	57
4930	wednesday	15
4931	darkness	6
4932	flinched	7
4933	involuntarily	1
4934	novels	32
4935	resisted	3
4936	noisy	28
4937	baker	3
4938	pushing	10
4939	jewelry	10
4940	carbon	10
4941	copy	51
4942	mandatory	4
4943	invested	5
4944	dense	7
4945	starve	9
4946	blushing	6
4947	apologies	5
4948	ignoring	9
4949	inspires	3
4950	great-grandmothers	1
4951	courageous	13
4952	flimsy	3
4953	fridge	20
4954	pounds	16
4955	intolerable	6
4956	blows	1
4957	complicate	2
4958	raising	7
4959	models	1
4960	ingredient	4
4961	rainy	28
4962	untalented	5
4963	sides	17
4964	fatter	14
4965	axe	1
4966	advises	4
4967	apt	7
4968	customs	14
4969	declaration	2
4970	pronunciation	15
4971	amazes	4
4972	misunderstand	6
4973	strain	4
4974	activist	4
4975	gibberish	1
4976	printer	8
4977	atlantic	4
4978	heap	3
4979	transportation	3
4980	speeches	4
4981	candle	18
4982	warnings	5
4983	meddling	2
4984	affairs	12
4985	innocent	75
4986	croissant	2
4987	gazed	4
4988	decades	1
4989	civil	10
4990	blank	5
4991	sheet	11
4992	becoming	35
4993	astronaut	5
4994	soul	17
4995	clubs	4
4996	wound	19
4997	scar	10
4998	harmonica	2
4999	stool	3
5000	joker	4
5001	letting	17
5002	fireplace	9
5003	captain	35
5004	pathetic	13
5005	farce	1
5006	stiffed	1
5007	fifty	34
5008	bucks	4
5009	snooze	4
5010	dosage	2
5011	schoolboys	2
5012	poems	17
5013	picasso	5
5014	needing	13
5015	cases	10
5016	oysters	15
5017	waves	3
5018	goose	4
5019	lays	3
5020	downside	1
5021	dresses	10
5022	accusations	3
5023	constantly	18
5024	no-brainer	7
5025	okinawa	5
5026	000	64
5027	seat'	1
5028	exceptionally	3
5029	sunk	7
5030	furniture	44
5031	ham	12
5032	rust	1
5033	manholes	1
5034	accidentally	7
5035	deliberately	7
5036	utilized	1
5037	peaceful	9
5038	purposes	2
5039	sends	6
5040	claus	30
5041	refusal	2
5042	crawled	3
5043	depraved	2
5044	toothache	15
5045	resourceful	17
5046	hasty	2
5047	passing	11
5048	infatuation	3
5049	victim	15
5050	luna	2
5051	flabby	1
5052	reservations	8
5053	sweatshops	1
5054	beer'	2
5055	experiment	28
5056	immortality	1
5057	prefers	16
5058	gorgeous	16
5059	spook	2
5060	smiles	7
5061	conversing	2
5062	untrue	2
5063	contents	4
5064	registers	1
5065	preserved	1
5066	subroutine	1
5067	computer-savvy	2
5068	dry	44
5069	cough	17
5070	dismissed	14
5071	hill	39
5072	regained	9
5073	san	7
5074	francisco	6
5075	museums	10
5076	ignorant	17
5077	seine	6
5078	flows	12
5079	carol	4
5080	wheels	4
5081	third-year	1
5082	token	2
5083	appreciation	2
5084	landed	17
5085	sadly	4
5086	signs	16
5087	reportedly	3
5088	april	19
5089	contain	10
5090	dissatisfied	8
5091	vivacious	1
5092	intruding	5
5093	outlook	5
5094	bleak	1
5095	knit	8
5096	flights	11
5097	stating	4
5098	tulips	4
5099	botched	2
5100	russian	17
5101	actor	30
5102	bright	39
5103	chases	1
5104	rabbits	17
5105	victory	20
5106	exert	2
5107	coast	13
5108	narrow-minded	5
5109	wealth	19
5110	ninjas	5
5111	fields	12
5112	produce	8
5113	crops	16
5114	realistic	11
5115	actress	23
5116	killing	14
5117	violate	1
5118	worker	19
5119	propose	15
5120	wrapped	8
5121	volunteered	24
5122	luckily	14
5123	complete	48
5124	disaster	12
5125	surf	14
5126	tracked	14
5127	websites	18
5128	detector	3
5129	inadmissible	1
5130	philosophers	3
5131	kitchens	1
5132	avenged	3
5133	memorized	8
5134	holy	1
5135	roman	5
5136	empire	3
5137	1806	1
5138	revealed	6
5139	disturb	17
5140	sorrow	3
5141	regretful	2
5142	8	33
5143	15	14
5144	handled	26
5145	tool	5
5146	skillfully	1
5147	cia	3
5148	charged	11
5149	drunken	10
5150	quarter	16
5151	insisted	17
5152	kid'	6
5153	patio	4
5154	monotone	1
5155	refer	10
5156	fortunate	26
5157	composer	5
5158	translated	29
5159	overcooked	6
5160	tasteless	3
5161	flock	3
5162	sheep	23
5163	banquet	4
5164	burned	53
5165	denies	5
5166	quitting	13
5167	offering	8
5168	blake	1
5169	daughters	25
5170	shark	6
5171	violinist	6
5172	daydreaming	3
5173	professor	18
5174	suntan	3
5175	strictly	11
5176	forbidden	7
5177	blackboard	22
5178	roller	4
5179	coasters	3
5180	pubs	1
5181	carpet	24
5182	yacht	5
5183	sailed	2
5184	buoy	1
5185	engaged	31
5186	crashed	20
5187	validate	2
5188	songwriter	2
5189	postpone	24
5190	departure	29
5191	heaven	16
5192	handbag	8
5193	tips	2
5194	microphone	9
5195	hostage	6
5196	drifted	6
5197	suffocating	3
5198	sneaky	13
5199	hopefully	8
5200	dumped	27
5201	widower	2
5202	attribute	1
5203	drop-dead	2
5204	eighty	7
5205	alibi	16
5206	baking	6
5207	reception	11
5208	thumb	14
5209	busboy	1
5210	floors	3
5211	itchy	4
5212	calmly	9
5213	leadership	3
5214	villagers	4
5215	pretends	7
5216	enthusiastic	8
5217	lid	9
5218	example	44
5219	narrow	17
5220	swore	5
5221	boyfriend'	2
5222	triggered	1
5223	tsunami	3
5224	supports	5
5225	bowling	4
5226	emailed	2
5227	stoned	9
5228	robber	11
5229	ii	8
5230	1945	4
5231	pleasantly	7
5232	bakes	2
5233	pointed	16
5234	impress	14
5235	screw	17
5236	fuse	9
5237	blown	17
5238	successive	5
5239	drowning	17
5240	exaggerating	2
5241	boxes	33
5242	fluff	2
5243	pillows	4
5244	specialty	7
5245	entertainment	2
5246	amateurs	2
5247	ladder	16
5248	steady	9
5249	random	4
5250	promoted	18
5251	chartered	2
5252	underlined	5
5253	sorts	9
5254	premeditated	1
5255	heater	14
5256	consideration	18
5257	decorating	6
5258	revealing	3
5259	glistened	1
5260	dew	2
5261	method	24
5262	name'	8
5263	owner	11
5264	bender	2
5265	employee	9
5266	escorted	9
5267	premises	5
5268	practiced	6
5269	backstroke	1
5270	whom	3
5271	honor	18
5272	points	13
5273	cloud	9
5274	devastated	16
5275	hunt	5
5276	snails	5
5277	smells	46
5278	volleyball	11
5279	interpreter	16
5280	owes	18
5281	presentation	5
5282	acquired	13
5283	blushed	9
5284	italian	14
5285	breathtaking	3
5286	chapter	4
5287	concepts	1
5288	geometry	2
5289	unloaded	2
5290	disagree	32
5291	frightens	3
5292	dentist'	5
5293	worn	19
5294	barked	11
5295	foundation	6
5296	hitting	17
5297	headed	27
5298	westward	2
5299	efficient	22
5300	gain	21
5301	reptiles	4
5302	ruled	9
5303	handguns	2
5304	bragging	6
5305	retailers	2
5306	grappling	2
5307	religious	18
5308	beliefs	2
5309	sightseeing	3
5310	pronouncing	3
5311	taxes	29
5312	load	6
5313	hats	9
5314	whenever	59
5315	forgave	17
5316	investments	3
5317	earn	19
5318	walker	4
5319	meter	15
5320	intervene	5
5321	conscientious	11
5322	inhale	4
5323	fumes	3
5324	somebody'	19
5325	rebels	8
5326	traitors	4
5327	swap	2
5328	attractive	61
5329	puppy	18
5330	cooker	2
5331	fabulous	13
5332	peru	5
5333	unforgettable	6
5334	gifted	11
5335	touched	45
5336	airs	3
5337	greasy	7
5338	capitalized	1
5339	witnessed	8
5340	turtles	11
5341	hatched	4
5342	domesticated	1
5343	egyptians	1
5344	f	7
5345	aggressive	20
5346	hardest	16
5347	painful	17
5348	appealing	2
5349	refugees	6
5350	zipped	2
5351	noble	2
5352	laziest	4
5353	feared	7
5354	sister'	26
5355	sites	4
5356	surrendered	7
5357	beating	20
5358	violently	4
5359	apprehended	3
5360	brushing	7
5361	worthy	10
5362	chime	2
5363	grumpy	7
5364	dye	12
5365	scout	4
5366	tag	6
5367	upcoming	6
5368	included	12
5369	wisecrack	1
5370	grammar	14
5371	demanded	36
5372	predicting	1
5373	dedicated	21
5374	research	27
5375	lovers	10
5376	other'	12
5377	unfold	1
5378	function	5
5379	expedition	4
5380	antarctic	3
5381	tube	5
5382	toothpaste	17
5383	picking	16
5384	founder	1
5385	brakes	8
5386	valid	14
5387	retirement	6
5388	60	5
5389	paint	81
5390	freaked	9
5391	hostages	14
5392	unharmed	5
5393	walnuts	3
5394	cap	17
5395	behave	30
5396	dotted	3
5397	longest	14
5398	atm	7
5399	ruining	5
5400	envy	15
5401	dawn	14
5402	veterinarian	4
5403	assignment	7
5404	tower'	1
5405	stockholm	1
5406	sweden	3
5407	records	13
5408	positively	2
5409	ghastly	2
5410	brazilian	5
5411	leaps	2
5412	bounds	7
5413	darker	25
5414	criticizing	2
5415	breathed	5
5416	boss'	10
5417	motionless	1
5418	shake	28
5419	pickpocket	4
5420	courtesy	7
5421	obeyed	13
5422	lined	5
5423	irretrievable	1
5424	waking	6
5425	hay	8
5426	ecology	3
5427	regrets	17
5428	cemetery	3
5429	biting	6
5430	tail	18
5431	steep	6
5432	candidate	7
5433	dwell	5
5434	clue	18
5435	smoked	11
5436	willingly	4
5437	life'	17
5438	pierced	9
5439	ink	24
5440	blot	1
5441	bark	8
5442	liars	9
5443	breakthroughs	1
5444	burn	31
5445	newton	2
5446	spinach	11
5447	hesitant	2
5448	brazil	10
5449	err	3
5450	divine	6
5451	motivation	5
5452	worthwhile	8
5453	rip	7
5454	fatal	7
5455	shinjuku	2
5456	1954	3
5457	barge	2
5458	farmer	26
5459	wives'	2
5460	tale	7
5461	reiterate	2
5462	generally	34
5463	repeats	2
5464	itself	31
5465	brains	5
5466	toothpick	2
5467	comb	8
5468	adventurous	9
5469	informed	29
5470	reword	2
5471	click	7
5472	crossword	2
5473	puzzle	19
5474	disapproved	4
5475	pilots	4
5476	programmers	1
5477	semicolons	2
5478	emoticons	1
5479	bake	3
5480	excellence	1
5481	drawings	1
5482	booked	8
5483	putting	31
5484	sunburn	6
5485	deceived	16
5486	blush	9
5487	keycard	2
5488	chocolates	10
5489	contradicting	6
5490	developing	5
5491	android	2
5492	speechless	11
5493	containers	4
5494	airtight	3
5495	outlaw	3
5496	cultured	3
5497	committee	31
5498	engineers	4
5499	thickheaded	1
5500	mustn'	3
5501	marika	1
5502	70	10
5503	unhappiness	3
5504	bliss	2
5505	arthritis	2
5506	pluto	1
5507	physically	8
5508	stronger	43
5509	incident	17
5510	reschedule	4
5511	permanent	10
5512	heading	15
5513	deeper	2
5514	items	14
5515	objected	14
5516	vices	1
5517	tomorrow'	16
5518	chopped	5
5519	gossip	13
5520	damascus	1
5521	syria	2
5522	cents	5
5523	inspector	3
5524	adults	17
5525	mint	1
5526	penny	9
5527	original	21
5528	remix	1
5529	ponies	1
5530	stripped	2
5531	stalling	12
5532	intercom	2
5533	seventh	6
5534	grandchild	4
5535	employer	7
5536	population	49
5537	invaders	2
5538	bay	3
5539	settled	19
5540	clinical	2
5541	trials	3
5542	oxygen	13
5543	auditorium	6
5544	abstentions	1
5545	poverty	16
5546	evil	22
5547	truly	30
5548	exhausting	6
5549	elected	34
5550	rolled	12
5551	cheeks	11
5552	dear	5
5553	environment	11
5554	slave	7
5555	embarrasses	4
5556	incurable	3
5557	opens	5
5558	flash	4
5559	horror	12
5560	colonel	2
5561	loyal	8
5562	conscious	12
5563	regularly	7
5564	scolded	32
5565	bell	54
5566	poorer	8
5567	departed	6
5568	suppress	4
5569	emotions	11
5570	beijing	4
5571	procrastinating	4
5572	applicants	6
5573	retire	18
5574	craving	1
5575	thorough	19
5576	primitive	2
5577	calculating	1
5578	machines	7
5579	existed	6
5580	afghanistan	3
5581	plagued	1
5582	flashbacks	1
5583	nightmares	4
5584	contacting	5
5585	stressed	11
5586	services	5
5587	quotation	1
5588	boxing	2
5589	pus	1
5590	temporary	16
5591	old-fashioned	6
5592	high-calorie	1
5593	snacks	9
5594	expenses	21
5595	lacks	12
5596	predict	16
5597	guidelines	5
5598	headmaster	1
5599	sickness	9
5600	barbecue	9
5601	ethnic	4
5602	traditionally	4
5603	trigger	10
5604	memories	15
5605	repeated	12
5606	punch	6
5607	imitation	2
5608	cruel	51
5609	clip	4
5610	bird'	2
5611	browser	7
5612	cleaned	44
5613	unlucky	36
5614	castles	4
5615	moat	4
5616	surrounding	4
5617	dr	7
5618	zamenhof	1
5619	copyrighted	2
5620	esperanto	5
5621	karaoke	4
5622	mystery	26
5623	tiny	17
5624	pinch	3
5625	caution	10
5626	jungle	6
5627	upper	3
5628	blonde'	1
5629	expense	5
5630	spared	5
5631	embarking	1
5632	politeness	3
5633	telephoning	1
5634	uses	19
5635	steals	4
5636	workable	1
5637	neighbors'	2
5638	land	54
5639	plates	10
5640	tour	15
5641	shout	4
5642	custody	6
5643	stays	15
5644	girlfriend'	8
5645	dolls	10
5646	poison	24
5647	rush	26
5648	defended	2
5649	jackpot	2
5650	imperative	3
5651	shining	11
5652	brightly	4
5653	everyone'	53
5654	peeled	3
5655	skipped	15
5656	forehead	10
5657	changes	58
5658	final	30
5659	t-shirt	18
5660	shrink	1
5661	tabloids	4
5662	shaved	8
5663	freeze	6
5664	rifle	13
5665	attentive	5
5666	cleared	24
5667	loan	38
5668	rotten	14
5669	admires	3
5670	optimism	4
5671	soap	12
5672	lifetime	9
5673	aids	4
5674	unbelievable	22
5675	sustained	5
5676	multiple	3
5677	injuries	10
5678	hairstyle	9
5679	client	8
5680	coverage	2
5681	tremble	4
5682	butler	2
5683	gulliver'	2
5684	overtime	9
5685	ostriches	2
5686	fluency	4
5687	marketable	1
5688	skill	14
5689	electrical	6
5690	appliances	2
5691	guide	23
5692	undeniable	3
5693	warning	28
5694	casualties	5
5695	inevitable	17
5696	oppose	4
5697	second-hand	1
5698	diamonds	6
5699	muslim	6
5700	directness	1
5701	methodical	4
5702	speeding	11
5703	democracy	8
5704	1975	6
5705	stashed	3
5706	patients	13
5707	abacus	1
5708	communicate	12
5709	begins	35
5710	telephone'	2
5711	magazines	20
5712	dog-eared	2
5713	operated	3
5714	mentally	23
5715	surrender	11
5716	catholic	11
5717	expands	2
5718	effectively	3
5719	digital	6
5720	seated	27
5721	journalism	2
5722	admitted	30
5723	spectacular	6
5724	chief	9
5725	tribe	4
5726	terrier	1
5727	parrot	6
5728	hostile	2
5729	aliens	7
5730	sales	17
5731	classmates	20
5732	executed	7
5733	slight	24
5734	individual	7
5735	textbook	16
5736	beginners	8
5737	drugs	30
5738	baffled	12
5739	cheerfully	5
5740	pleasant	35
5741	maintenance	2
5742	strongest	3
5743	formidable	2
5744	opponent	10
5745	merciful	15
5746	honestly	13
5747	track	18
5748	eager	23
5749	advisor	3
5750	fooled	19
5751	reported	4
5752	chainsaw	4
5753	tricky	7
5754	inquisitive	1
5755	seeds	10
5756	detergent	4
5757	keeping	26
5758	minutes'	10
5759	brake	3
5760	nude	5
5761	scraps	3
5762	hinting	3
5763	grandfather'	10
5764	farms	3
5765	rusty	3
5766	disrespectful	7
5767	silly	32
5768	waits	3
5769	accompany	16
5770	coaches	1
5771	simplicity	3
5772	posted	7
5773	briefcase	8
5774	bolted	6
5775	balcony	6
5776	bike'	1
5777	sponge	3
5778	absorbs	5
5779	explicitly	2
5780	declared	10
5781	pilot	17
5782	faults	15
5783	blinded	11
5784	nurses	3
5785	encouragement	5
5786	zinc	1
5787	frighten	8
5788	unconvinced	2
5789	refund	8
5790	item	6
5791	unopened	3
5792	plastic	22
5793	avoid	59
5794	thanksgiving	4
5795	secrets	30
5796	beeline	1
5797	eavesdropping	4
5798	shave	20
5799	ufos	5
5800	29	2
5801	freedom	22
5802	deadline	25
5803	exchanged	23
5804	numerous	8
5805	compliment	15
5806	warmth	16
5807	gear	19
5808	carols	5
5809	tech	1
5810	constructed	5
5811	sabotage	1
5812	lemon	10
5813	unplugged	1
5814	disbeliever	1
5815	correctly	19
5816	halfheartedly	1
5817	ending	11
5818	kick	16
5819	squirrels	4
5820	proceed	18
5821	questioning	10
5822	loyalty	8
5823	fold	6
5824	tunnel	8
5825	stark	2
5826	motorcyclists	1
5827	helmets	3
5828	safer	11
5829	practically	7
5830	drew	18
5831	circle	22
5832	unmarried	10
5833	napoleon	5
5834	marched	3
5835	armies	2
5836	russia	11
5837	breathing	17
5838	clinging	1
5839	youth	17
5840	compare	19
5841	translation	22
5842	amounted	3
5843	row	15
5844	receding	1
5845	hairline	1
5846	dumb	28
5847	lawn	24
5848	mower	4
5849	gasoline	9
5850	actual	7
5851	spiders	16
5852	slaves	4
5853	shooting	15
5854	accidental	4
5855	marks	11
5856	bone	20
5857	atlantis	2
5858	employs	5
5859	bore	11
5860	fountain	9
5861	pharmacy	10
5862	easygoing	4
5863	glum	3
5864	magda	1
5865	spaniard	1
5866	narrowly	8
5867	slipping	4
5868	documentary	4
5869	shakespeare'	1
5870	tragedies	1
5871	site	3
5872	steadfast	1
5873	seize	7
5874	corporal	2
5875	code	21
5876	specialist	9
5877	survivors	23
5878	selected	13
5879	estate	12
5880	accessible	3
5881	tyrannical	2
5882	imprison	1
5883	opponents	7
5884	parallel	5
5885	intersect	1
5886	bills	24
5887	hereafter	2
5888	admiring	5
5889	landscape	4
